2004-Feb-25 09:31,36.27345,9.87457,206.71938,71.442
2004-Feb-25 09:32,36.27341,9.87479,206.71560,71.442
2004-Feb-25 09:33,36.27337,9.875,206.71182,71.442
2004-Feb-25 09:34,36.27332,9.87522,206.70804,71.442
2004-Feb-25 09:35,36.27327,9.87544,206.70426,71.442
2004-Feb-25 11:16,36.25005,9.89682,206.33808,71.426
2004-Feb-25 11:17,36.24965,9.89702,206.33472,71.426
2004-Feb-25 11:18,36.24925,9.89722,206.33130,71.426
2004-Feb-25 11:19,36.24884,9.89742,206.32794,71.425
2004-Feb-25 11:20,36.24844,9.89762,206.32458,71.425
2004-Feb-25 13:01,36.19295,9.91485,206.02596,71.385
2004-Feb-25 13:02,36.19229,9.91499,206.02350,71.385
2004-Feb-25 13:03,36.19161,9.91513,206.02104,71.384
2004-Feb-25 13:04,36.19094,9.91526,206.01858,71.384
2004-Feb-25 13:05,36.19026,9.9154,206.01612,71.383
2004-Feb-25 14:46,36.11476,9.92464,205.82712,71.328
2004-Feb-25 14:47,36.11397,9.92469,205.82586,71.327
2004-Feb-25 14:48,36.11317,9.92473,205.82466,71.327
2004-Feb-25 14:49,36.11238,9.92477,205.82340,71.326
2004-Feb-25 14:50,36.11159,9.92482,205.82220,71.326
2004-Feb-26 12:43,36.14821,9.92225,204.43836,71.325
2004-Feb-26 12:56,36.13812,9.92325,204.41652,71.318
2004-Feb-26 13:09,36.12788,9.9241,204.39678,71.31
2004-Feb-26 13:22,36.11755,9.92479,204.37908,71.302
2004-Feb-26 13:35,36.10716,9.92531,204.36348,71.295
2004-Feb-26 13:48,36.09674,9.92566,204.34998,71.287
2004-Feb-26 14:01,36.08632,9.92585,204.33858,71.279
2004-Feb-26 14:14,36.07596,9.92586,204.32928,71.271
2004-Feb-29 15:02,35.92895,9.88553,200.22600,71.07
2004-Feb-29 15:03,35.92891,9.8853,200.22774,71.07
2004-Feb-29 15:04,35.92888,9.88507,200.22942,71.07
2004-Feb-29 15:05,35.92885,9.88484,200.23116,71.07
2004-Feb-29 16:47,35.94641,9.86143,200.39772,71.077
2004-Feb-29 16:48,35.94677,9.86121,200.39916,71.077
2004-Feb-29 16:49,35.94714,9.86099,200.40060,71.078
2004-Feb-29 16:50,35.94752,9.86077,200.40204,71.078
2004-Feb-29 18:32,36.00273,9.84101,200.50776,71.113
2004-Feb-29 18:33,36.00341,9.84086,200.50830,71.113
2004-Feb-29 18:34,36.0041,9.8407,200.50884,71.114
2004-Feb-29 18:35,36.00479,9.84054,200.50938,71.114
2004-Feb-29 20:17,36.08441,9.82923,200.50164,71.168
2004-Feb-29 20:18,36.08524,9.82917,200.50092,71.169
2004-Feb-29 20:19,36.08608,9.82912,200.50020,71.169
2004-Feb-29 20:20,36.08692,9.82906,200.49942,71.17
2004-Feb-29 21:47,36.15962,9.82818,200.38422,71.221
2004-Feb-29 21:48,36.16043,9.82822,200.38230,71.221
2004-Feb-29 21:49,36.16123,9.82826,200.38044,71.222
2004-Feb-29 21:50,36.16204,9.8283,200.37852,71.222
2004-Mar-05 00:30,36.22041,9.91582,192.97992,71.156
2004-Mar-05 00:43,36.21108,9.91774,192.94788,71.149
2004-Mar-05 00:56,36.20142,9.91951,192.91764,71.142
2004-Mar-05 01:09,36.19147,9.92113,192.88926,71.135
2004-Mar-05 01:22,36.18125,9.9226,192.86280,71.128
2004-Mar-05 01:35,36.17081,9.92391,192.83832,71.12
2004-Mar-05 01:52,36.15687,9.92537,192.80928,71.11
2004-Mar-05 01:53,36.15604,9.92544,192.80772,71.109
2004-Mar-05 01:54,36.15521,9.92552,192.80610,71.108
2004-Mar-05 01:55,36.15438,9.92559,192.80454,71.108
2004-Mar-05 01:56,36.15355,9.92567,192.80298,71.107
2004-Mar-05 03:37,36.06861,9.92766,192.70842,71.044
2004-Mar-05 03:38,36.06779,9.92763,192.70812,71.043
2004-Mar-05 03:39,36.06697,9.92759,192.70782,71.043
2004-Mar-05 03:40,36.06615,9.92755,192.70752,71.042
2004-Mar-05 03:41,36.06534,9.92752,192.70728,71.041
2004-Mar-05 05:22,35.99107,9.9183,192.73758,70.984
2004-Mar-05 05:23,35.99045,9.91815,192.73842,70.984
2004-Mar-05 05:24,35.98982,9.91801,192.73926,70.983
2004-Mar-05 05:25,35.9892,9.91787,192.74010,70.983
2004-Mar-05 05:26,35.98859,9.91773,192.74094,70.982
2004-Mar-05 07:07,35.94239,9.89917,192.86706,70.944
2004-Mar-05 07:08,35.94211,9.89895,192.86862,70.944
2004-Mar-05 07:09,35.94183,9.89874,192.87018,70.943
2004-Mar-05 07:10,35.94156,9.89852,192.87174,70.943
2004-Mar-05 07:11,35.94129,9.8983,192.87330,70.943
